Metric,State,Model,2012-13,2013-14,2014-15,2015-16,2016-17,Whole Period,GFT Period
MAPE,ID,AR52,0.636,0.375,0.218,0.748,--,0.884,0.794
MAPE,ID,ARGO,0.7240000000000001,0.48200000000000004,0.2,0.8170000000000001,--,0.861,0.759
MAPE,KS,GFT,0.882,0.292,0.285,--,--,0.688,0.688
MAPE,KS,AR52,0.391,0.28600000000000003,0.18899999999999997,0.307,0.251,0.42100000000000004,0.42100000000000004
MAPE,KS,ARGO,0.303,0.33299999999999996,0.22399999999999998,0.252,0.19399999999999998,0.45899999999999996,0.479
MAPE,KY,GFT,2.661,0.531,0.8540000000000001,--,--,2.075,2.075
MAPE,KY,AR52,0.515,0.54,0.47700000000000004,0.37799999999999995,0.39899999999999997,1.122,1.103
MAPE,KY,ARGO,0.425,0.37,0.452,0.268,0.321,0.779,0.87
MAPE,LA,GFT,0.667,0.154,0.10300000000000001,--,--,0.252,0.252
MAPE,LA,AR52,0.135,0.11800000000000001,0.094,0.163,0.109,0.11900000000000001,0.12
MAPE,LA,ARGO,0.136,0.094,0.09300000000000001,0.129,0.12,0.133,0.13699999999999998
MAPE,MA,GFT,0.642,0.157,0.18100000000000002,--,--,0.319,0.319
MAPE,MA,AR52,0.168,0.135,0.13699999999999998,0.16699999999999998,0.15,0.166,0.157
MAPE,MA,ARGO,0.126,0.083,0.077,0.124,0.071,0.138,0.125
MAPE,MD,GFT,0.67,1.308,0.94,--,--,1.213,1.213
MAPE,MD,AR52,0.523,0.541,0.25,0.204,0.32899999999999996,0.409,0.498
MAPE,MD,ARGO,0.565,0.547,0.2,0.22399999999999998,0.349,0.426,0.515
MAPE,ME,GFT,0.306,0.34299999999999997,0.41700000000000004,--,--,0.401,0.401
MAPE,ME,AR52,0.19899999999999998,0.235,0.201,0.26,0.214,0.255,0.231
MAPE,ME,ARGO,0.21,0.228,0.19899999999999998,0.17800000000000002,0.19699999999999998,0.237,0.22899999999999998
MAPE,MI,GFT,0.205,0.52,0.28800000000000003,--,--,0.45399999999999996,0.45399999999999996
MAPE,MI,AR52,0.168,0.124,0.426,0.26899999999999996,0.155,0.28800000000000003,0.317
MAPE,MI,ARGO,0.19,0.132,0.5329999999999999,0.20199999999999999,0.21100000000000002,0.318,0.365
MAPE,MN,GFT,1.127,0.366,0.29,--,--,0.727,0.727
MAPE,MN,AR52,0.301,0.34,0.226,0.434,0.22,0.449,0.504
MAPE,MN,ARGO,0.366,0.318,0.235,0.455,0.23,0.44299999999999995,0.473
MAPE,NC,GFT,0.904,0.2,0.23600000000000002,--,--,0.534,0.534
MAPE,NC,AR52,0.302,0.285,0.261,0.183,0.242,0.428,0.546
MAPE,NC,ARGO,0.324,0.23399999999999999,0.203,0.195,0.172,0.32799999999999996,0.408
MAPE,ND,GFT,0.516,0.996,0.47100000000000003,--,--,0.696,0.696
MAPE,ND,AR52,0.349,1.588,0.647,0.701,0.894,0.8109999999999999,0.8320000000000001
MAPE,ND,ARGO,0.326,2.012,0.769,0.599,0.828,0.9309999999999999,1.008
MAPE,NE,GFT,0.32,2.003,1.574,--,--,1.157,1.157
MAPE,NE,AR52,0.218,1.034,0.366,0.518,0.41100000000000003,0.5579999999999999,0.606
MAPE,NE,ARGO,0.17800000000000002,1.251,0.375,0.589,0.429,0.575,0.625
MAPE,NH,GFT,0.624,0.38799999999999996,0.616,--,--,0.618,0.618
MAPE,NH,AR52,0.6659999999999999,0.685,0.584,0.316,0.33799999999999997,0.5870000000000001,0.757
MAPE,NH,ARGO,0.47100000000000003,0.547,0.826,0.32,0.294,0.539,0.674
MAPE,NJ,GFT,1.035,0.244,0.319,--,--,0.508,0.508
MAPE,NJ,AR52,0.196,0.145,0.196,0.33,0.13,0.27899999999999997,0.26899999999999996
MAPE,NJ,ARGO,0.266,0.146,0.155,0.49200000000000005,0.161,0.301,0.263
MAPE,NM,GFT,0.845,0.31,0.63,--,--,0.6409999999999999,0.6409999999999999
MAPE,NM,AR52,0.18899999999999997,0.133,0.16399999999999998,0.242,0.13,0.195,0.18600000000000003
MAPE,NM,ARGO,0.244,0.14800000000000002,0.171,0.20199999999999999,0.11599999999999999,0.2,0.21
MAPE,NV,GFT,0.988,0.7290000000000001,1.253,--,--,1.4269999999999998,1.4269999999999998
