Week Start Date,Year,MMWR Week,State,Visit Count,Flu Vaccine Visit Count,Flu Visit Count,ILI Visit Count,CDC ILI Visit Count,Unspecified Viral or ILI Visit Count
04/25/2010,2010,17,SC,7713,6,0,38,38,95
04/25/2010,2010,17,TN,8636,6,3,12,9,25
04/25/2010,2010,17,TX,25535,79,34,135,102,339
04/25/2010,2010,17,UT,1472,1,1,14,13,18
04/25/2010,2010,17,VA,13746,4,4,63,59,98
04/25/2010,2010,17,WA,1316,0,1,3,2,6
04/25/2010,2010,17,WI,374,0,0,0,0,0
04/25/2010,2010,17,WV,696,0,0,0,0,1
04/25/2010,2010,17,WY,458,0,0,1,1,2
05/02/2010,2010,18,AL,1569,0,0,2,2,6
05/02/2010,2010,18,ALL STATES,330172,458,151,1100,953,3123
05/02/2010,2010,18,AR,4804,5,2,14,12,57
05/02/2010,2010,18,AZ,8940,1,3,11,8,36
05/02/2010,2010,18,CA,6904,19,4,9,5,39
05/02/2010,2010,18,CO,1439,1,1,4,3,12
05/02/2010,2010,18,CT,2743,2,0,12,12,26
05/02/2010,2010,18,DE,417,0,0,0,0,1
05/02/2010,2010,18,FL,9038,6,8,35,27,92
05/02/2010,2010,18,GA,16706,8,4,68,64,117
05/02/2010,2010,18,IA,116,1,0,0,0,0
05/02/2010,2010,18,IL,21815,41,3,28,25,150
05/02/2010,2010,18,IN,1623,0,0,8,8,10
05/02/2010,2010,18,KS,5086,0,0,4,4,16
05/02/2010,2010,18,KY,8606,0,2,30,28,87
05/02/2010,2010,18,LA,10332,23,30,68,41,184
05/02/2010,2010,18,MA,44749,84,11,137,126,481
05/02/2010,2010,18,MD,5714,7,3,9,6,64
05/02/2010,2010,18,MI,2597,3,1,6,5,19
05/02/2010,2010,18,MN,97,0,0,0,0,0
05/02/2010,2010,18,MO,2262,0,3,5,2,26
05/02/2010,2010,18,MS,3786,0,0,13,13,37
05/02/2010,2010,18,MT,3,0,0,0,0,0
05/02/2010,2010,18,NC,7651,6,17,82,66,126
05/02/2010,2010,18,NH,156,0,0,0,0,1
05/02/2010,2010,18,NJ,8872,21,12,21,9,164
05/02/2010,2010,18,NM,4227,21,2,6,4,22
05/02/2010,2010,18,NV,434,0,0,0,0,0
05/02/2010,2010,18,NY,8544,3,2,4,2,96
05/02/2010,2010,18,OH,59052,56,13,225,212,602
05/02/2010,2010,18,OK,3167,0,1,24,23,30
05/02/2010,2010,18,OR,2622,1,0,3,3,12
05/02/2010,2010,18,PA,8199,4,2,11,9,37
05/02/2010,2010,18,RI,3563,41,0,11,11,44
05/02/2010,2010,18,SC,8559,7,1,32,31,85
05/02/2010,2010,18,SD,2183,1,0,5,5,12
05/02/2010,2010,18,TN,8801,5,2,12,10,25
05/02/2010,2010,18,TX,26714,84,18,113,95,289
05/02/2010,2010,18,UT,1476,5,3,23,20,30
05/02/2010,2010,18,VA,13791,2,3,61,58,78
05/02/2010,2010,18,WA,1253,0,0,0,0,2
05/02/2010,2010,18,WI,399,0,0,2,2,2
05/02/2010,2010,18,WV,702,0,0,0,0,4
05/02/2010,2010,18,WY,461,0,0,2,2,2
05/09/2010,2010,19,AL,1928,0,0,0,0,5
05/09/2010,2010,19,ALL STATES,331734,411,182,1091,920,3147
05/09/2010,2010,19,AR,4531,1,1,11,10,23
05/09/2010,2010,19,AZ,8831,0,4,9,5,22
05/09/2010,2010,19,CA,7472,21,1,10,9,31
05/09/2010,2010,19,CO,1549,2,0,5,5,20
05/09/2010,2010,19,CT,2835,2,2,12,10,31
05/09/2010,2010,19,DE,416,0,0,0,0,0
05/09/2010,2010,19,FL,9244,3,12,53,43,128
05/09/2010,2010,19,GA,17129,5,6,53,47,111
05/09/2010,2010,19,IA,111,0,0,0,0,2
05/09/2010,2010,19,IL,21496,57,6,39,33,147
05/09/2010,2010,19,IN,1587,0,3,7,4,13
05/09/2010,2010,19,KS,4154,0,1,9,8,24
05/09/2010,2010,19,KY,9027,0,0,32,32,89
05/09/2010,2010,19,LA,10265,20,37,68,37,187
05/09/2010,2010,19,MA,45526,89,11,132,121,484
05/09/2010,2010,19,MD,5580,5,5,26,21,64
05/09/2010,2010,19,MI,2372,1,1,3,2,15
05/09/2010,2010,19,MN,61,0,0,0,0,0
05/09/2010,2010,19,MO,1938,0,2,2,1,21
05/09/2010,2010,19,MS,3775,0,0,15,15,31
05/09/2010,2010,19,MT,1,0,0,0,0,0
05/09/2010,2010,19,NC,7505,3,14,75,62,118
05/09/2010,2010,19,NH,188,0,0,0,0,0
05/09/2010,2010,19,NJ,9003,24,21,33,12,158
05/09/2010,2010,19,NM,4327,13,7,11,4,28
05/09/2010,2010,19,NV,449,0,1,1,0,1
05/09/2010,2010,19,NY,8260,6,1,5,4,96
05/09/2010,2010,19,OH,59384,35,8,205,197,606
05/09/2010,2010,19,OK,3084,0,1,23,22,29
05/09/2010,2010,19,OR,2808,0,0,2,2,14
05/09/2010,2010,19,PA,8441,0,5,11,6,51
05/09/2010,2010,19,RI,3530,28,0,8,8,44
05/09/2010,2010,19,SC,8437,5,3,26,23,70
05/09/2010,2010,19,SD,2723,1,0,5,5,9
05/09/2010,2010,19,TN,8946,0,7,12,5,30
05/09/2010,2010,19,TX,26702,85,17,108,92,319
05/09/2010,2010,19,UT,1372,2,1,21,20,30
05/09/2010,2010,19,VA,14011,3,2,54,52,85
05/09/2010,2010,19,WA,1260,0,2,5,3,6
05/09/2010,2010,19,WI,336,0,0,0,0,0
05/09/2010,2010,19,WV,690,0,0,0,0,2
05/09/2010,2010,19,WY,450,0,0,0,0,3
05/16/2010,2010,20,AL,1896,0,0,2,2,4
05/16/2010,2010,20,ALL STATES,331644,327,165,1149,999,3314
05/16/2010,2010,20,AR,4564,2,6,18,12,46
05/16/2010,2010,20,AZ,9189,0,1,11,10,25
05/16/2010,2010,20,CA,7308,13,5,28,23,66
05/16/2010,2010,20,CO,1588,0,0,2,2,10
05/16/2010,2010,20,CT,2778,4,0,15,15,27
05/16/2010,2010,20,DE,397,0,0,1,1,1
05/16/2010,2010,20,FL,9424,5,11,43,32,97
05/16/2010,2010,20,GA,16857,7,5,47,43,108
05/16/2010,2010,20,IA,123,0,0,1,1,3
05/16/2010,2010,20,IL,21920,34,0,23,23,147
05/16/2010,2010,20,IN,1497,4,0,8,8,11
05/16/2010,2010,20,KS,4642,0,0,3,3,17
05/16/2010,2010,20,KY,8865,0,3,23,20,73
05/16/2010,2010,20,LA,9824,19,22,71,57,195
05/16/2010,2010,20,MA,45069,76,13,135,123,497
